"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","fame_cluster","smp_cluster"
"56",12177,"Pogona barbata","Pogona barbata","Pogona","Bearded Dragon","Reptiles","Victoria","Vulnerable",691.8309709,0.3,0.1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",NA,0,0,0,0,1,0,20.5,3,4745,61.5,4409721,7,650.684609379753,"3",8,1,0.4,0.000474246287266903,12,13
"57",12665,"Drysdalia coronoides","Drysdalia coronoides","Drysdalia","White-lipped Snake","Reptiles","NotListed","NotListed",36.92177072,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,5.4,2,730,13.2,6381853.3125,7,699.494570670908,"1",4,NA,NA,0.000236352113083795,1,1
"58",12458,"Niveoscincus coventryi","Carinascincus coventryi","Niveoscincus","Coventry's Skink","Reptiles","NotListed","NotListed",2.951209,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,3,1,1460,3,3320468.4375,8,758.962420890459,"4",4,1.66666666666667,NA,0.000393255666803136,3,5
"59",12972,"Austrelaps ramsayi","Austrelaps ramsayi","Austrelaps","Highland Copperhead","Reptiles","NotListed","NotListed",317.4184693,5,2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,17,0.67,5475,11.39,3899876.625,3,677.00050744674,"4",4,1.2,4.4,0.000373764283321547,5,7
"60",12441,"Hemiergis decresiensis","Hemiergis decresiensis","Hemiergis","Three-toed Skink","Reptiles","NotListed","NotListed",3.01995172,0.01,0.03,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,4.5,1,876,4.5,1228359.9375,13,691.941775193874,"4",4,0.666666666666667,NA,0.000130993943712156,3,5
"61",12204,"Pogona vitticeps","Pogona vitticeps","Pogona","Central Bearded Dragon","Reptiles","NotListed","NotListed",575.4399373,0.3,0.1,NA,"0","1","0",0,"0",0,"1","1",NA,NA,0,0,0,0,0,1,"Omnivore",NA,0,0,0,0,1,0,28,5,6570,140,2930367.375,2,775.883823373685,"14",6,0.75,NA,9.58052629619947e-05,12,16
"62",12174,"Pygopus lepidopodus","Pygopus lepidopodus","Pygopus","Common Scaly-foot","Reptiles","NotListed","NotListed",19.95262315,0.1,0.1,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,3,1095,6,905094,19,809.342857988315,"1",8,1.375,NA,0.000339626989739588,11,14
"63",12199,"Ctenophorus pictus","Ctenophorus pictus","Ctenophorus","Painted Dragon","Reptiles","NotListed","NotListed",13.48962883,0.1,0.2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4,4,730,16,2082196.125,4,751.880605175821,"1",7,1.5,-0.5,NA,2,2
"64",12185,"Ctenophorus fordi","Ctenophorus fordi","Ctenophorus","Mallee Dragon","Reptiles","NotListed","NotListed",6.165950019,0.05,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2.4,4,730,9.6,739180.6875,2,778.331999886885,"1",6,1,NA,NA,2,2
"65",12698,"Pseudonaja aspidorhyncha","Pseudonaja aspidorhyncha","Pseudonaja","Patch-nosed Brown Snake","Reptiles","NotListed","NotListed",474.5277875,5,2,NA,"0","0","0",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,5.8,2,6205,11.6,1390840.875,3,884.516329990454,"14",7,1,-1,NA,4,4
"66",12462,"Niveoscincus metallicus","Carinascincus metallicus","Niveoscincus","Metallic Skink","Reptiles","NotListed","NotListed",7.079458,0.04,0.05,NA,"0","0","0",0,"0",0,"1","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,4.6,1,2920,4.6,1024655.0625,4,792.979436260463,"1",4,1,NA,0.000378059648320565,2,6
"67",5134,"Chelodina longicollis","Chelodina longicollis","Chelodina","Eastern Snake-necked Turtle","Reptiles","NotListed","NotListed",1293,1.75873031788473,0.335422732224203,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,13.9,3,13505,41.7,78853.5,7,857.169528188043,"1",7,1.5,NA,0,5,12
"68",12464,"Acritoscincus platynotus","Acritoscincus platynotus","Acritoscincus","Red-throated Skink","Reptiles","NotListed","NotListed",45.70881896,0.02,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,5.5,1,2555,5.5,237562.875,5,660.216548108898,"4",3,1.66666666666667,NA,0.000262927755238761,8,3
"69",12446,"Hemiergis peronii","Hemiergis peronii","Hemiergis","Four-toed Skink","Reptiles","NotListed","NotListed",3.01995172,0.02,0.03,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,3.36,1,1460,3.36,129924,7,887.178186211331,"1",5,1.33333333333333,3.66666666666667,0.000142703874641743,1,6
"70",12681,"Notechis scutatus","Notechis scutatus","Notechis","Tiger Snake","Reptiles","NotListed","NotListed",1338.379266,5,1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,24,1,8030,24,10208343.9375,7,669.452135375309,"1",7,1,NA,0.000236352113083795,6,9
"71",12693,"Pseudechis porphyriacus","Pseudechis porphyriacus","Pseudechis","Red-bellied Black Snake","Reptiles","NotListed","NotListed",1338.379266,5,1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,12.4,1,9125,12.4,7419270.9375,7,642.222791306263,"4",7,1,NA,0.000259987055578306,5,13
"72",12444,"Anepischtos maccoyi","Anepischetosia maccoyi","Anepischtos","McCoy's Skink","Reptiles","NotListed","NotListed",4.168693835,0.01,0.02,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,3.6,1,1460,3.6,4020551.4375,8,761.933063369134,"4",4,0.4,NA,0.000243327183108328,3,5
"73",12452,"Saproscincus mustelinus","Saproscincus mustelinus","Saproscincus","Weasel Skink","Reptiles","NotListed","NotListed",5.128614,0.03,0.03,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,6.5,1,1460,6.5,3744452.8125,10,716.742531663293,"4",4,1,NA,0.000189247496929318,3,5
"74",12519,"Menetia greyii","Menetia greyii","Menetia","Grey's Skink","Reptiles","NotListed","NotListed",1.122018454,0.02,0.03,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2.1,2,365,4.2,1417829.0625,11,711.376842511895,"3",8,1,-2.5,0.00025276617225593,8,11
"75",12650,"Rhinoplocephalus nigrescens","Cryptophis nigrescens","Rhinoplocephalus","Eastern Small-eyed Snake","Reptiles","NotListed","NotListed",391.3715561,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4.3,1,3650,24,5221685.25,7,656.633018364822,"4",4,1.5,-2,0.000295985250094387,3,7
"76",12126,"Christinus marmoratus","Christinus marmoratus","Christinus","Marbled Gecko","Reptiles","NotListed","NotListed",7.079457844,0.02,0.05,NA,"0","1","0",0,"0",0,"1","0",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,1,4672,2,1087384.5,20,762.699730278318,"1",8,2,NA,0.000326111493653915,11,14
"77",12326,"Cryptoblepharus pannosus","Cryptoblepharus pannosus","Cryptoblepharus","Carnaby's Wall Skink","Reptiles","NotListed","NotListed",1.513561248,0.02,0.05,NA,"0","1","0",0,"0",0,"1","0",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,1.5,2,5475,3,3317704.3125,7,717.113132150809,"3",8,NA,NA,0.000229275458741208,8,11
"78",12138,"Underwoodisaurus milii","Underwoodisaurus milii","Underwoodisaurus","Thick-tailed Barking Gecko","Reptiles","NotListed","NotListed",22.90867653,0.02,0.07,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,8,6570,16,2084529.9375,8,697.601912842558,"1",7,1.4,6,0.000214970502847355,1,1
"79",12059,"Strophurus intermedius","Strophurus intermedius","Strophurus","Southern Spiny-tailed Gecko","Reptiles","NotListed","NotListed",10.23292992,0.05,0.1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,2,1460,4,898239.375,2,762.53121311519,"1",6,1.08333333333333,-0.666666666666667,0.000564040458555097,2,2
"80",62919,"Intellagama lesueurii howittii","Intellagama lesueurii","Intellagama","Gippsland Water Dragon","Reptiles","NotListed","NotListed",912.0108394,0.926818181818182,0.314090909090909,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Omnivore",NA,0,0,0,0,1,0,12,4,10220,48,2166193.125,2,662.165799709812,"4",3,1.5,1,NA,5,13
"81",12170,"Lialis burtonis","Lialis burtonis","Lialis","Burton's Snake-Lizard","Reptiles","NotListed","NotListed",22.90867653,0.5,0.2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,2,3650,4,761870.8125,12,768.277632173393,"1",7,1.11111111111111,-0.666666666666667,0.000329791193657636,1,2
"82",12318,"Carlia tetradactyla","Carlia tetradactyla","Carlia","Southern Rainbow Skink","Reptiles","NotListed","NotListed",5.12861384,0.02,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,2,365,4,1673298,1,654.005203376335,"3",4,1.33333333333333,NA,0.000406078398531043,8,11
"83",12092,"Gehyra variegata","Gehyra variegata","Gehyra","Tree Dtella","Reptiles","NotListed","NotListed",7.413102413,0.1,0.05,NA,"0","1","0",0,"0",0,"1","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,1,2,10220,2,1119521.25,3,816.537045357005,"14",5,0,NA,0.000461179141697992,4,4
"84",12655,"Demansia psammophis","Demansia psammophis","Demansia","Yellow-faced Whip Snake","Reptiles","NotListed","NotListed",252.3480772,2,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,5.9,4,1825,2.8,1443683.25,1,1170.78074054833,"14",6,1.5,2.66666666666667,NA,4,4
"85",12722,"Suta suta","Suta suta","Suta","Curl Snake","Reptiles","NotListed","NotListed",73.79212212,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4.59,1,5110,5,1072531.125,9,804.088487046033,"14",7,1,NA,0.000262440292304077,4,4
"86",12105,"Heteronotia binoei","Heteronotia binoei","Heteronotia","Bynoe's Gecko","Reptiles","NotListed","NotListed",3.630780548,0.5,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,4,4964,8,782880.1875,2,777.375197429938,"14",4,1,-0.5,7.14073026389233e-05,4,4
"87",5135,"Emydura macquarii","Emydura macquarii","Emydura","Murray River Turtle","Reptiles","Victoria","Critically Endangered",4955,1.75873031788473,0.335422732224203,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Omnivore",NA,0,0,0,0,1,0,13.2,2,9307.5,2,13687410.375,5,549.798147226151,"1",8,0.5,NA,NA,6,15
"88",12159,"Delma impar","Delma impar","Delma","Striped Legless Lizard","Reptiles","Victoria","Endangered",6.165950019,0.1,0.1,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,1,7300,2,417160.125,6,603.436077010788,"1",5,1.33333333333333,NA,0.000624045297204749,2,2
"89",62969,"Morelia spilota metcalfei","Morelia spilota","Morelia","Carpet Python","Reptiles","Victoria","Endangered",21710.16364,25,1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,16.2,0.415,9125,6.723,4437944.4375,6,649.567081383522,"14",7,1.77777777777778,NA,NA,13,17
"90",12734,"Vermicella annulata","Vermicella annulata","Vermicella","Bandy Bandy","Reptiles","Victoria","Endangered",252.3480772,0.3,0.1,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,7.7,4,2701,3.5,1937904.75,11,693.97829974007,"14",7,2.07692307692308,2,0.000290695835039272,8,4
"91",12287,"Varanus rosenbergi","Varanus rosenbergi","Varanus","Rosenberg's Goanna","Reptiles","Victoria","Critically Endangered",3019.952,20,2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,12.5,1,4745,12.5,407121.1875,4,677.12157227578,"1",4,1.64285714285714,-0.666666666666667,-0.000852058287118026,5,12
"92",12525,"Morethia adelaidensis","Morethia adelaidensis","Morethia","Samphire Skink","Reptiles","Victoria","Endangered",4.168693835,0.05,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.4,1,2190,6,172195.875,6,913.145225194564,"13",6,NA,NA,NA,10,8
"93",12666,"Drysdalia mastersii","Drysdalia mastersii","Drysdalia","Masters' Snake","Reptiles","Victoria","Critically Endangered",27.8072729,0.2,0.2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2.8,1,4380,2.8,643312.125,1,657.778877614098,"1",4,2.55,0,NA,2,2
"94",12150,"Aprasia striolata","Aprasia striolata","Aprasia","Striped Worm-Lizard","Reptiles","Victoria","Endangered",8.128305162,0.02,0.05,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,1,730,8,163164.375,5,874.981721035851,"3",4,1.33333333333333,1,0.000515244537908949,8,11
"95",12492,"Lerista timida","Lerista timida","Lerista","Dwarf Burrowing Skink","Reptiles","Victoria","Endangered",1.122018,0.02,0.03,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,1,365,2,229478.0625,5,875.157923097505,"13",5,1.33333333333333,NA,NA,10,8
"96",12407,"Lissolepis coventryi","Lissolepis coventryi","Lissolepis","Swamp Skink","Reptiles","Victoria","Endangered",79.43282347,0.01,0.02,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore/Omnivore",NA,1,0,0,0,1,0,3,1,3285,3,325857.9375,9,717.970046214407,"1",4,1,1,0.000415404186761247,1,6
"97",12141,"Aprasia aurita","Aprasia aurita","Aprasia","Mallee Worm-Lizard","Reptiles","Victoria","Endangered",6.760829754,0.02,0.05,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,1,7300,2,254010.9375,1,797.843571458088,"1",3,1.52380952380952,2.6,NA,2,2
"98",12176,"Pygopus schraderi","Pygopus schraderi","Pygopus","Hooded Scaly-foot","Reptiles","Victoria","Critically Endangered",12.88249552,0.1,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,1,1825,2,127180.125,4,938.735449311132,"14",5,0.25,NA,NA,8,4
"99",62958,"Eulamprus tympanum marnieae","Eulamprus tympanum","Eulamprus","Corangamite Water Skink","Reptiles","Victoria","Endangered",21.3796209,0.01,0.01,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.86,1,5475,3.86,115268.0625,4,1061.11938128269,"3",4,NA,NA,NA,8,11
"100",12137,"Rhynchoedura ornata","Rhynchoedura ornata","Rhynchoedura","Beaked Gecko","Reptiles","Victoria","Endangered",3.630780548,0.05,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,2,4,1022,8,64987.3125,3,653.416404983945,"14",4,0.666666666666667,2.5,7.14073026389233e-05,4,4
"101",12669,"Furina diadema","Furina diadema","Furina","Red-naped Snake","Reptiles","Victoria","Endangered",27.8072729,0.1,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.2,1,3650,5,47709,2,761.932021981795,"13",3,1.11111111111111,NA,0.000343960993039788,10,8
"102",5133,"Chelodina expansa","Chelodina expansa","Chelodina","Broad-shelled Turtle","Reptiles","Victoria","Endangered",9450,1.75873031788473,0.335422732224203,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,28,4,9307.5,61.5,48554.4375,6,732.739446067984,"3",7,0.5,NA,NA,12,16
"103",12992,"Pseudemoia cryodroma","Pseudemoia cryodroma","Pseudemoia","Alpine Bog Skink","Reptiles","Australia","Endangered",4.168694,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.1,1,10220,3.1,30192.75,3,2084.9971925412,"4",2,2,3.42857142857143,NA,9,3
"104",62921,"Tympanocryptis petersi","Tympanocryptis petersi","Tympanocryptis","Lined Earless Dragon","Reptiles","Victoria","Endangered",9.7,0.5,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4.59,1,1168,2,35073,2,902.738885695745,"14",4,0.666666666666667,NA,NA,4,4
"105",12813,"Parasuta spectabilis","Suta spectabilis","Parasuta","Port Lincoln Snake","Reptiles","Victoria","Endangered",27.8072729,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3,1,730,12,79253.4375,1,947.097097156836,"1",6,1.64285714285714,0.25,NA,2,2
"106",12550,"Eulamprus kosciuskoi","Eulamprus kosciuskoi","Eulamprus","Alpine Water Skink","Reptiles","Victoria","Endangered",12.88249552,0.02,0.02,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,3.1,1,7300,2,22755.9375,1,1021.53958050002,"4",1,NA,NA,NA,9,3
"107",62968,"Morelia spilota spilota","Morelia spilota","Morelia","Diamond Python","Reptiles","Victoria","Critically Endangered",21710.16364,25,1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,16.2,0.415,9125,6.723,223463.8125,1,569.933854578151,"4",2,1.59090909090909,0.696969696969697,NA,13,17
"108",12987,"Cyclodomorphus praealtus","Cyclodomorphus praealtus","Cyclodomorphus","Alpine She-oak Skink","Reptiles","Victoria","Critically Endangered",45.70881896,0.05,0.1,NA,"0","0","0",1,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4.9,1,2920,4.9,21444.75,1,1188.71021971664,"4",1,NA,NA,NA,9,3
"109",12144,"Aprasia parapulchella","Aprasia parapulchella","Aprasia","Pink-tailed Worm-Lizard","Reptiles","Victoria","Endangered",8.317637711,0.02,0.05,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,3,1460,5,18063,1,2266.90164899438,"3",2,2,1.83333333333333,0.000406078398531043,8,11
"110",12432,"Liopholis guthega","Liopholis guthega","Liopholis","Guthega Skink","Reptiles","Victoria","Critically Endangered",32.35936569,0.01,0.05,NA,"0","0","0",0,"1",0,"1","1",NA,NA,0,0,0,0,0,1,"Carnivore/Omnivore",NA,1,0,0,0,1,0,3,1,2190,3,3645,0,684.837735770632,"4",1,NA,NA,NA,9,3
"111",12667,"Echiopsis curta","Echiopsis curta","Echiopsis","Bardick","Reptiles","Victoria","Endangered",73.79213231,0.2,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,7.1,2,1460,24,909493.3125,6,610.5395620168,"1",5,2.30769230769231,1.66666666666667,NA,2,2
"112",12922,"Tympanocryptis pinguicolla","Tympanocryptis pinguicolla","Tympanocryptis","Grassland Earless Dragon","Reptiles","Australia","Critically Endangered",8.7096359,0.5,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,4.5,1,1825,3.1,154117.6875,1,720.413465651336,"1",2,0,NA,NA,2,2
"113",63940,"Rankinia diemensis (Anglesea)","Rankinia diemensis","Rankinia","Mountain Dragon Angelsea form","Reptiles","NotListed","NotListed",19.498446,0.926818181818182,0.314090909090909,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,6.6,2,3650,13.2,754.3125,0,599.928645274429,"1",2,2.4,3,NA,2,2
