"","TAXON_ID","Sci_Name","COMMON_NAME","TaxaGroup","TAXON_TYPE","Extinction_Risk","FFG_Status","Sci_Name_Alt"
"1",11150,"Cercartetus nanus","Eastern Pygmy-possum","Mammals","Mammals","NotListed","NotListed","Cercartetus nanus"
"2",11152,"Cercartetus lepidus","Little Pygmy-possum","Mammals","Mammals","NotListed","NotListed","Cercartetus lepidus"
"3",13166,"Litoria aurea","Green and Golden Bell Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria aurea"
"4",13204,"Litoria peronii","Peron's Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria peronii"
"5",13182,"Litoria ewingii","Southern Brown Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria ewingii"
"6",63906,"Litoria verreauxii verreauxii","Verreaux's Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria verreauxii"
"7",13192,"Litoria lesueuri","Lesueur's Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria lesueurii"
"8",13203,"Litoria paraewingi","Plains Brown Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria paraewingi"
"9",13175,"Litoria citropa","Blue Mountains Tree Frog","Amphibians","Amphibians","NotListed","NotListed","Litoria citropa"
"10",10614,"Lichenostomus chrysops","Yellow-faced Honeyeater","Birds","Passerine birds","NotListed","NotListed","Caligavis chrysops"
"11",10625,"Lichenostomus penicillatus","White-plumed Honeyeater","Birds","Passerine birds","NotListed","NotListed","Ptilotula penicillata"
"12",10617,"Lichenostomus leucotis","White-eared Honeyeater","Birds","Passerine birds","NotListed","NotListed","Nesoptilotis leucotis"
"13",10619,"Lichenostomus melanops","Yellow-tufted Honeyeater","Birds","Passerine birds","NotListed","NotListed","Lichenostomus melanops"
"14",10608,"Lichenostomus virescens","Singing Honeyeater","Birds","Passerine birds","NotListed","NotListed","Gavicalis virescens"
"15",10622,"Lichenostomus ornatus","Yellow-plumed Honeyeater","Birds","Passerine birds","NotListed","NotListed","Ptilotula ornata"
"16",10613,"Lichenostomus fuscus","Fuscous Honeyeater","Birds","Passerine birds","NotListed","NotListed","Ptilotula fusca"
"17",10620,"Lichenostomus cratitius","Purple-gaped Honeyeater","Birds","Passerine birds","Victoria","Vulnerable","Lichenostomus cratitius"
"18",10486,"Acanthiza chrysorrhoa","Yellow-rumped Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza chrysorrhoa"
"19",10475,"Acanthiza pusilla","Brown Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza pusilla"
"20",10470,"Acanthiza lineata","Striated Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza lineata"
"21",10484,"Acanthiza reguloides","Buff-rumped Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza reguloides"
"22",10471,"Acanthiza nana","Yellow Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza nana"
"23",10481,"Acanthiza uropygialis","Chestnut-rumped Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza uropygialis"
"24",10163,"Calidris acuminata","Sharp-tailed Sandpiper","Birds","Waders","NotListed","NotListed","Calidris acuminata"
"25",10476,"Acanthiza apicalis","Inland Thornbill","Birds","Passerine birds","NotListed","NotListed","Acanthiza apicalis"
"26",10162,"Calidris ruficollis","Red-necked Stint","Birds","Waders","NotListed","NotListed","Calidris ruficollis"
"27",10978,"Calidris melanotos","Pectoral Sandpiper","Birds","Waders","NotListed","NotListed","Calidris melanotos"
"28",10161,"Calidris ferruginea","Curlew Sandpiper","Birds","Waders","Australia","Critically Endangered","Calidris ferruginea"
"29",10164,"Calidris canutus","Red Knot","Birds","Waders","Australia","Endangered","Calidris canutus"
"30",10166,"Calidris alba","Sanderling","Birds","Waders","NotListed","NotListed","Calidris alba"
"31",10965,"Calidris subminuta","Long-toed Stint","Birds","Waders","NotListed","NotListed","Calidris subminuta"
"32",13058,"Limnodynastes dumerilii","Southern Bullfrog (ssp. unknown)","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes dumerilii"
"33",13063,"Limnodynastes tasmaniensis","Spotted Marsh Frog (race unknown)","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes tasmaniensis"
"34",13061,"Limnodynastes peronii","Striped Marsh Frog","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes peronii"
"35",12375,"Ctenotus robustus","Large Striped Skink","Reptiles","Reptiles","NotListed","NotListed","Ctenotus robustus"
"36",63913,"Limnodynastes dumerilii dumerilii","Pobblebonk Frog","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes dumerilii"
"37",12936,"Ctenotus orientalis","Eastern Striped Skink","Reptiles","Reptiles","NotListed","NotListed","Ctenotus orientalis"
"38",12386,"Ctenotus taeniolatus","Copper-tailed Skink","Reptiles","Reptiles","NotListed","NotListed","Ctenotus taeniolatus"
"39",12374,"Ctenotus regius","Regal Striped Skink","Reptiles","Reptiles","NotListed","NotListed","Ctenotus regius"
"40",63914,"Limnodynastes dumerilii insularis","Pobblebonk Frog","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes dumerilii"
"41",12342,"Ctenotus brachyonyx","Murray Striped Skink","Reptiles","Reptiles","NotListed","NotListed","Ctenotus brachyonyx"
"42",62933,"Ctenotus taeniatus","Brooks's Striped Skink","Reptiles","Reptiles","NotListed","NotListed","Ctenotus taeniatus"
"43",63915,"Limnodynastes dumerilii variegatus","Pobblebonk Frog","Amphibians","Amphibians","NotListed","NotListed","Limnodynastes dumerilii"
"44",10239,"Falco berigora","Brown Falcon","Birds","Other Non-passerine birds","NotListed","NotListed","Falco berigora"
"45",10240,"Falco cenchroides","Nankeen Kestrel","Birds","Other Non-passerine birds","NotListed","NotListed","Falco cenchroides"
"46",10237,"Falco peregrinus","Peregrine Falcon","Birds","Other Non-passerine birds","NotListed","NotListed","Falco peregrinus"
"47",10235,"Falco longipennis","Australian Hobby","Birds","Other Non-passerine birds","NotListed","NotListed","Falco longipennis"
"48",10238,"Falco subniger","Black Falcon","Birds","Other Non-passerine birds","Victoria","Critically Endangered","Falco subniger"
"49",12994,"Pseudemoia entrecasteauxii","Southern Grass Skink","Reptiles","Reptiles","NotListed","NotListed","Pseudemoia entrecasteauxii"
"50",12541,"Pseudemoia spenceri","Spencer's Skink","Reptiles","Reptiles","NotListed","NotListed","Pseudemoia spenceri"
"51",12948,"Pseudemoia form cryodoma/pagenstecheri","Grass skink FORM (P.pag/cry)","Reptiles","Reptiles","NotListed","NotListed","Pseudemoia cryodoma"
"52",10401,"Pachycephala rufiventris","Rufous Whistler","Birds","Passerine birds","NotListed","NotListed","Pachycephala rufiventris"
"53",10398,"Pachycephala pectoralis","Golden Whistler","Birds","Passerine birds","NotListed","NotListed","Pachycephala pectoralis"
"54",10380,"Petroica boodang","Scarlet Robin","Birds","Passerine birds","NotListed","NotListed","Petroica boodang"
"55",11265,"Macropus giganteus","Eastern Grey Kangaroo","Mammals","Mammals","NotListed","NotListed","Macropus giganteus"
"56",10382,"Petroica phoenicea","Flame Robin","Birds","Passerine birds","NotListed","NotListed","Petroica phoenicea"
"57",10547,"Artamus cyanopterus","Dusky Woodswallow","Birds","Passerine birds","NotListed","NotListed","Artamus cyanopterus"
"58",10381,"Petroica goodenovii","Red-capped Robin","Birds","Passerine birds","NotListed","NotListed","Petroica goodenovii"
"59",10545,"Artamus superciliosus","White-browed Woodswallow","Birds","Passerine birds","NotListed","NotListed","Artamus superciliosus"
"60",10384,"Petroica rosea","Rose Robin","Birds","Passerine birds","NotListed","NotListed","Petroica rosea"
"61",62956,"Eulamprus tympanum tympanum","Southern Water Skink","Reptiles","Reptiles","NotListed","NotListed","Eulamprus tympanum"
"62",10544,"Artamus personatus","Masked Woodswallow","Birds","Passerine birds","NotListed","NotListed","Artamus personatus"
"63",10405,"Pachycephala olivacea","Olive Whistler","Birds","Passerine birds","NotListed","NotListed","Pachycephala olivacea"
"64",12957,"Eulamprus heatwolei","Yellow-bellied Water Skink","Reptiles","Reptiles","NotListed","NotListed","Eulamprus heatwolei"
"65",10383,"Petroica rodinogaster","Pink Robin","Birds","Passerine birds","NotListed","NotListed","Petroica rodinogaster"
"66",11263,"Macropus fuliginosus","Western Grey Kangaroo","Mammals","Mammals","NotListed","NotListed","Macropus fuliginosus"
"67",10546,"Artamus cinereus","Black-faced Woodswallow","Birds","Passerine birds","NotListed","NotListed","Artamus cinereus"
"68",10306,"Neophema chrysostoma","Blue-winged Parrot","Birds","Other Non-passerine birds","NotListed","NotListed","Neophema chrysostoma"
"69",10403,"Pachycephala inornata","Gilbert's Whistler","Birds","Passerine birds","NotListed","NotListed","Pachycephala inornata"
"70",11261,"Macropus rufogriseus","Red-necked Wallaby","Mammals","Mammals","NotListed","NotListed","Macropus rufogriseus"
"71",10543,"Artamus leucorynchus","White-breasted Woodswallow","Birds","Passerine birds","NotListed","NotListed","Artamus leucoryn"
"72",11275,"Macropus rufus","Red Kangaroo","Mammals","Mammals","NotListed","NotListed","Macropus rufus"
"73",10143,"Charadrius ruficapillus","Red-capped Plover","Birds","Waders","NotListed","NotListed","Charadrius ruficapillus"
"74",10140,"Charadrius bicinctus","Double-banded Plover","Birds","Waders","NotListed","NotListed","Charadrius bicinctus"
"75",10307,"Neophema elegans","Elegant Parrot","Birds","Other Non-passerine birds","Victoria","Vulnerable","Neophema elegans"
"76",10141,"Charadrius leschenaultii","Greater Sand Plover","Birds","Waders","Australia","Vulnerable","Charadrius leschenaultii"
"77",10139,"Charadrius mongolus","Lesser Sand Plover","Birds","Waders","Australia","Endangered","Charadrius mongolus"
"78",12557,"Eulamprus quoyii","Eastern Water Skink","Reptiles","Reptiles","NotListed","NotListed","Eulamprus quoyii"
"79",10145,"Peltohyas australis","Inland Dotterel","Birds","Other Non-passerine birds","Victoria","Vulnerable","Peltohyas australis"
"80",10954,"Corvus mellori","Little Raven","Birds","Passerine birds","NotListed","NotListed","Corvus mellori"
"81",10930,"Corvus coronoides","Australian Raven","Birds","Passerine birds","NotListed","NotListed","Corvus coronoides"
"82",10424,"Coracina novaehollandiae","Black-faced Cuckoo-shrike","Birds","Passerine birds","NotListed","NotListed","Coracina novaehollandiae"
"83",10634,"Manorina melanocephala","Noisy Miner","Birds","Passerine birds","NotListed","NotListed","Manorina melanocephala"
"84",10529,"Malurus cyaneus","Superb Fairy-wren","Birds","Passerine birds","NotListed","NotListed","Malurus cyaneus"
"85",10631,"Phylidonyris novaehollandiae","New Holland Honeyeater","Birds","Passerine birds","NotListed","NotListed","Phylidonyris novaehollandiae"
"86",10189,"Ardea pacifica","White-necked Heron","Birds","Other Non-passerine birds","NotListed","NotListed","Ardea pacifica"
"87",11379,"Vespadelus vulturnus","Little Forest Bat","Mammals","Bats","NotListed","NotListed","Vespadelus vulturnus"
"88",11378,"Vespadelus regulus","Southern Forest Bat","Mammals","Bats","NotListed","NotListed","Vespadelus regulus"
"89",10208,"Anas superciliosa","Pacific Black Duck","Birds","Other Non-passerine birds","NotListed","NotListed","Anas superciliosa"
"90",10211,"Anas gracilis","Grey Teal","Birds","Other Non-passerine birds","NotListed","NotListed","Anas gracilis"
"91",10977,"Ardea ibis","Cattle Egret","Birds","Other Non-passerine birds","NotListed","NotListed","Bubulcus ibis"
"92",12580,"Tiliqua scincoides","Common Blue-tongued Lizard","Reptiles","Reptiles","NotListed","NotListed","Tiliqua scincoides"
"93",11381,"Vespadelus darlingtoni","Large Forest Bat","Mammals","Bats","NotListed","NotListed","Vespadelus darlingtoni"
"94",10096,"Phalacrocorax carbo","Great Cormorant","Birds","Other Non-passerine birds","NotListed","NotListed","Phalacrocorax carbo"
"95",12578,"Tiliqua nigrolutea","Blotched Blue-tongued Lizard","Reptiles","Reptiles","NotListed","NotListed","Tiliqua nigrolutea"
"96",10425,"Coracina papuensis","White-bellied Cuckoo-shrike","Birds","Passerine birds","NotListed","NotListed","Coracina papuensis"
"97",62430,"Liopholis whitii GROUP","White's Skink","Reptiles","Reptiles","NotListed","NotListed","Liopholis whitii"
"98",10210,"Anas castanea","Chestnut Teal","Birds","Other Non-passerine birds","NotListed","NotListed","Anas castanea"
"99",10097,"Phalacrocorax sulcirostris","Little Black Cormorant","Birds","Other Non-passerine birds","NotListed","NotListed","Phalacrocorax sulcirostris"
"100",12583,"Tiliqua rugosa","Stumpy-tailed Lizard","Reptiles","Reptiles","NotListed","NotListed","Tiliqua rugosa"
"101",10868,"Corvus tasmanicus","Forest Raven","Birds","Passerine birds","NotListed","NotListed","Corvus tasmanicus"
"102",11028,"Antechinus agilis","Agile Antechinus","Mammals","Mammals","NotListed","NotListed","Antechinus agilis"
"103",10594,"Phylidonyris albifrons","White-fronted Honeyeater","Birds","Passerine birds","NotListed","NotListed","Purnella albifrons"
"104",10212,"Spatula rhynchotis","Australasian Shoveler","Birds","Other Non-passerine birds","Victoria","Vulnerable","Spatula rhynchotis"
"105",10593,"Phylidonyris melanops","Tawny-crowned Honeyeater","Birds","Passerine birds","NotListed","NotListed","Gliciphila melanops"
"106",11033,"Antechinus swainsonii","Dusky Antechinus","Mammals","Mammals","NotListed","NotListed","Antechinus swainsonii"
"107",10633,"Manorina melanophrys","Bell Miner","Birds","Passerine birds","NotListed","NotListed","Manorina melanophrys"
"108",10635,"Manorina flavigula","Yellow-throated Miner","Birds","Passerine birds","NotListed","NotListed","Manorina flavigula"
"109",12160,"Delma inornata","Olive Legless Lizard","Reptiles","Reptiles","NotListed","NotListed","Delma inornata"
"110",10630,"Phylidonyris pyrrhoptera","Crescent Honeyeater","Birds","Passerine birds","NotListed","NotListed","Phylidonyris pyrrhopterus"
"111",12588,"Ramphotyphlops bituberculatus","Peters's Blind Snake","Reptiles","Reptiles","NotListed","NotListed","Anilios bituberculatus"
"112",10500,"Calamanthus fuliginosus","Striated Fieldwren","Birds","Passerine birds","NotListed","NotListed","Calamanthus fuliginosus"
"113",12724,"Parasuta nigriceps","Mitchell's Short-tailed Snake","Reptiles","Reptiles","NotListed","NotListed","Suta nigriceps"
"114",12727,"Parasuta flagellum","Little Whip Snake","Reptiles","Reptiles","NotListed","NotListed","Suta flagellum"
"115",10499,"Calamanthus cautus","Shy Heathwren","Birds","Passerine birds","NotListed","NotListed","Calamanthus cautus"
"116",12154,"Delma australis","Southern Legless Lizard","Reptiles","Reptiles","NotListed","NotListed","Delma australis"
"117",10429,"Coracina tenuirostris","Common Cicadabird","Birds","Passerine birds","NotListed","NotListed","Edolisoma tenuirostre"
"118",10099,"Phalacrocorax varius","Pied Cormorant","Birds","Other Non-passerine birds","NotListed","NotListed","Phalacrocorax varius"
"119",12586,"Ramphotyphlops bicolor","West Australian Dark-spined Blind Snake","Reptiles","Reptiles","NotListed","NotListed","Anilios bicolor"
"120",13158,"Uperoleia laevigata","Smooth Toadlet","Amphibians","Amphibians","NotListed","NotListed","Uperoleia laevigata"
"121",10532,"Malurus splendens","Splendid Fairy-wren","Birds","Passerine birds","NotListed","NotListed","Malurus splendens"
"122",10691,"Corvus bennetti","Little Crow","Birds","Passerine birds","NotListed","NotListed","Corvus bennetti"
"123",12167,"Delma butleri","Butler's Legless Lizard","Reptiles","Reptiles","NotListed","NotListed","Delma butleri"
"124",11027,"Antechinus flavipes","Yellow-footed Antechinus","Mammals","Mammals","NotListed","NotListed","Antechinus flavipes"
"125",12143,"Aprasia inaurita","Pink-nosed Worm-Lizard","Reptiles","Reptiles","NotListed","NotListed","Aprasia inaurita"
"126",11819,"Vespadelus baverstocki","Inland Forest Bat","Mammals","Bats","NotListed","NotListed","Vespadelus baverstocki"
"127",12413,"Liopholis inornata","Desert Skink","Reptiles","Reptiles","NotListed","NotListed","Liopholis inornata"
"128",10536,"Malurus lamberti","Variegated Fairy-wren","Birds","Passerine birds","NotListed","NotListed","Malurus lamberti"
"129",10535,"Malurus leucopterus","White-winged Fairy-wren","Birds","Passerine birds","NotListed","NotListed","Malurus leucopterus"
"130",12599,"Ramphotyphlops nigrescens","Gray's Blind Snake","Reptiles","Reptiles","NotListed","NotListed","Anilios nigrescens"
"131",12726,"Parasuta dwyeri","Dwyer's Snake","Reptiles","Reptiles","NotListed","NotListed","Suta dwyeri"
"132",10502,"Calamanthus campestris","Rufous Fieldwren","Birds","Passerine birds","NotListed","NotListed","Calamanthus campestris"
"133",10098,"Phalacrocorax fuscescens","Black-faced Cormorant","Birds","Other Non-passerine birds","NotListed","NotListed","Phalacrocorax fuscescens"
"134",13931,"Uperoleia tyleri","Tyler's Toadlet","Amphibians","Amphibians","NotListed","NotListed","Uperoleia tyleri"
"135",12433,"Liopholis montana","Mountain Skink","Reptiles","Reptiles","Australia","Endangered","Liopholis montana"
"136",12579,"Tiliqua occipitalis","Western Blue-tongued Lizard","Reptiles","Reptiles","NotListed","NotListed","Tiliqua occipitalis"
"137",12603,"Ramphotyphlops proximus","Woodland Blind Snake","Reptiles","Reptiles","NotListed","NotListed","Anilios proximus"
"138",12993,"Pseudemoia pagenstecheri (Volcanic Plains)","Tussock Skink","Reptiles","Reptiles","Victoria","Endangered","Pseudemoia pagenstecheri"
"139",12683,"Pseudemoia rawlinsoni","Glossy Grass Skink","Reptiles","Reptiles","Victoria","Endangered","Pseudemoia rawlinsoni"
"140",19008,"Ctenotus olympicus","Saltbush Striped Skink","Reptiles","Reptiles","Victoria","Critically Endangered","Ctenotus olympicus"
"141",10269,"Cacatua galerita","Sulphur-crested Cockatoo","Birds","Other Non-passerine birds","NotListed","NotListed","Cacatua galerita"
"142",10705,"Cracticus tibicen","Australian Magpie","Birds","Passerine birds","NotListed","NotListed","Gymnorhina tibicen"
"143",10342,"Chrysococcyx basalis","Horsfield's Bronze-Cuckoo","Birds","Other Non-passerine birds","NotListed","NotListed","Chalcites basalis"
"144",10364,"Rhipidura leucophrys","Willie Wagtail","Birds","Passerine birds","NotListed","NotListed","Rhipidura leucophrys"
"145",10702,"Cracticus torquatus","Grey Butcherbird","Birds","Passerine birds","NotListed","NotListed","Cracticus torquatus"
"146",10337,"Cacomantis pallidus","Pallid Cuckoo","Birds","Other Non-passerine birds","NotListed","NotListed","Heteroscenes pallidus"
"147",10638,"Anthochaera carunculata","Red Wattlebird","Birds","Passerine birds","NotListed","NotListed","Anthochaera carunculata"
"148",13134,"Crinia signifera","Common Froglet","Amphibians","Amphibians","NotListed","NotListed","Crinia signifera"
"149",10578,"Melithreptus lunatus","White-naped Honeyeater","Birds","Passerine birds","NotListed","NotListed","Melithreptus lunatus"
"150",10338,"Cacomantis flabelliformis","Fan-tailed Cuckoo","Birds","Other Non-passerine birds","NotListed","NotListed","Cacomantis flabelliformis"
"151",10361,"Rhipidura albiscapa","Grey Fantail","Birds","Passerine birds","NotListed","NotListed","Rhipidura albiscapa"
"152",10271,"Cacatua sanguinea","Little Corella","Birds","Other Non-passerine birds","NotListed","NotListed","Cacatua sanguinea"
"153",10272,"Cacatua tenuirostris","Long-billed Corella","Birds","Other Non-passerine birds","NotListed","NotListed","Cacatua tenuirostris"
"154",10221,"Accipiter fasciatus","Brown Goshawk","Birds","Other Non-passerine birds","NotListed","NotListed","Accipiter fasciatus"
"155",11335,"Nyctophilus geoffroyi","Lesser Long-eared Bat","Mammals","Bats","NotListed","NotListed","Nyctophilus geoffroyi"
"156",10249,"Tyto javanica","Pacific Barn Owl","Birds","Other Non-passerine birds","NotListed","NotListed","Tyto alba"
"157",10448,"Epthianura albifrons","White-fronted Chat","Birds","Passerine birds","NotListed","NotListed","Epthianura albifrons"
"158",10344,"Chrysococcyx lucidus","Shining Bronze-Cuckoo","Birds","Other Non-passerine birds","NotListed","NotListed","Chalcites lucidus"
"159",10188,"Egretta novaehollandiae","White-faced Heron","Birds","Other Non-passerine birds","NotListed","NotListed","Egretta novaehollandiae"
"160",10258,"Glossopsitta concinna","Musk Lorikeet","Birds","Other Non-passerine birds","NotListed","NotListed","Glossopsitta concinna"
"161",10369,"Myiagra inquieta","Restless Flycatcher","Birds","Passerine birds","NotListed","NotListed","Myiagra inquieta"
"162",10222,"Accipiter cirrhocephalus","Collared Sparrowhawk","Birds","Other Non-passerine birds","NotListed","NotListed","Accipiter cirrocephalus"
"163",10583,"Melithreptus brevirostris","Brown-headed Honeyeater","Birds","Passerine birds","NotListed","NotListed","Melithreptus brevirostris"
"164",10009,"Coturnix pectoralis","Stubble Quail","Birds","Other Non-passerine birds","NotListed","NotListed","Coturnix pectoralis"
"165",10242,"Ninox novaeseelandiae","Southern Boobook","Birds","Other Non-passerine birds","NotListed","NotListed","Ninox novaeseelandiae"
"166",10366,"Myiagra cyanoleuca","Satin Flycatcher","Birds","Passerine birds","NotListed","NotListed","Myiagra cyanoleuca"
"167",60555,"Climacteris picumnus victoriae","Brown Treecreeper (south-eastern ssp.)","Birds","Passerine birds","NotListed","NotListed","Climacteris picumnus"
"168",11334,"Nyctophilus gouldi","Gould's Long-eared Bat","Mammals","Bats","NotListed","NotListed","Nyctophilus gouldi"
"169",10014,"Turnix varia","Painted Button-quail","Birds","Other Non-passerine birds","NotListed","NotListed","Turnix varius"
"170",11808,"Mormopterus sp. 4","Southern Freetail Bat","Mammals","Bats","NotListed","NotListed","Mormopterus planiceps"
"171",12475,"Lerista bougainvillii","Bougainville's Skink","Reptiles","Reptiles","NotListed","NotListed","Lerista bougainvillii"
"172",13131,"Crinia parinsignifera","Plains Froglet","Amphibians","Amphibians","NotListed","NotListed","Crinia parinsignifera"
"173",10339,"Cacomantis variolosus","Brush Cuckoo","Birds","Other Non-passerine birds","NotListed","NotListed","Cacomantis variolosus"
"174",62938,"Egernia saxatilis intermedia","Black Rock Skink","Reptiles","Reptiles","NotListed","NotListed","Egernia saxatilis"
"175",10365,"Myiagra rubecula","Leaden Flycatcher","Birds","Passerine birds","NotListed","NotListed","Myiagra rubecula"
"176",10362,"Rhipidura rufifrons","Rufous Fantail","Birds","Passerine birds","NotListed","NotListed","Rhipidura rufifrons"
"177",10700,"Cracticus nigrogularis","Pied Butcherbird","Birds","Passerine birds","NotListed","NotListed","Cracticus nigrogularis"
"178",12526,"Morethia boulengeri","Boulenger's Skink","Reptiles","Reptiles","NotListed","NotListed","Morethia boulengeri"
"179",11138,"Petaurus breviceps","Sugar Glider","Mammals","Mammals","NotListed","NotListed","Petaurus breviceps"
"180",12194,"Amphibolurus muricatus","Tree Dragon","Reptiles","Reptiles","NotListed","NotListed","Amphibolurus muricatus"
"181",10260,"Glossopsitta pusilla","Little Lorikeet","Birds","Other Non-passerine birds","NotListed","NotListed","Glossopsitta pusilla"
"182",11364,"Scotorepens balstoni","Inland Broad-nosed Bat","Mammals","Bats","NotListed","NotListed","Scotorepens balstoni"
"183",10010,"Coturnix ypsilophora australis","Brown Quail","Birds","Other Non-passerine birds","NotListed","NotListed","Synoicus ypsilophorus"
"184",12077,"Diplodactylus vittatus","Wood Gecko","Reptiles","Reptiles","NotListed","NotListed","Diplodactylus vittatus"
"185",10030,"Geopelia striata","Peaceful Dove","Birds","Other Non-passerine birds","NotListed","NotListed","Geopelia striata"
"186",11839,"Mormopterus sp. 2","Eastern Freetail Bat","Mammals","Bats","NotListed","NotListed","Mormopterus norfolkensis"
"187",10560,"Climacteris erythrops","Red-browed Treecreeper","Birds","Passerine birds","NotListed","NotListed","Climacteris erythrops"
"188",10267,"Calyptorhynchus funereus","Yellow-tailed Black-Cockatoo","Birds","Other Non-passerine birds","NotListed","NotListed","Zanda funerea"
